model,d,p,q,rmse,mae,hit_rate
ARIMA,0,2,2,0.003804,0.003209,25.0
ARIMA,0,5,2,0.003805,0.003242,41.666667
ARIMA,0,2,1,0.003806,0.003242,33.333333
ARIMA,0,1,1,0.003901,0.003259,75.0
ARIMA,0,1,0,0.003905,0.003264,75.0
ARIMA,0,2,0,0.003913,0.003274,75.0
ARIMA,0,1,2,0.003928,0.003286,66.666667
ARIMA,0,5,0,0.003964,0.003292,58.333333
ARIMA,0,5,1,0.003964,0.003292,50.0
ARIMA,1,2,1,0.004156,0.003236,41.666667
ARIMA,1,1,2,0.004528,0.003333,50.0
ARIMA,1,2,2,0.004552,0.003257,58.333333
ARIMA,1,5,2,0.004664,0.003487,58.333333
ARIMA,1,5,1,0.00472,0.003604,50.0
ARIMA,1,5,0,0.004983,0.003668,50.0
ARIMA,1,1,1,0.005013,0.003481,58.333333
ARIMA,1,2,0,0.005627,0.003815,50.0
ARIMA,1,1,0,0.006641,0.003996,50.0
