model,changepoint_prior_scale,daily_seasonality,seasonality_mode,seasonality_prior_scale,use_lagged_regressors,weekly_seasonality,yearly_seasonality,rmse,mae,hit_rate
PROPHET,0.01,False,additive,0.1,True,True,False,0.008151,0.006373,50.0
PROPHET,0.05,False,additive,0.1,True,True,False,0.008156,0.006381,50.0
PROPHET,0.1,False,additive,0.1,True,True,False,0.008165,0.006388,50.0
PROPHET,0.05,False,additive,1.0,True,True,False,0.008253,0.006503,50.0
PROPHET,0.01,False,additive,1.0,True,True,False,0.008253,0.006502,50.0
PROPHET,0.01,False,additive,10.0,True,True,False,0.008254,0.006504,50.0
PROPHET,0.1,False,additive,1.0,True,True,False,0.008254,0.006502,50.0
PROPHET,0.05,False,additive,10.0,True,True,False,0.008255,0.006504,50.0
PROPHET,0.1,False,additive,10.0,True,True,False,0.008255,0.006504,50.0
PROPHET,0.05,False,multiplicative,0.1,True,True,False,0.008415,0.006705,50.0
PROPHET,0.1,False,multiplicative,10.0,True,True,False,0.008417,0.006716,50.0
PROPHET,0.05,False,multiplicative,10.0,True,True,False,0.00842,0.006698,50.0
PROPHET,0.05,False,multiplicative,1.0,True,True,False,0.008444,0.006749,50.0
PROPHET,0.01,False,multiplicative,0.1,True,True,False,0.008506,0.006786,50.0
PROPHET,0.01,False,multiplicative,10.0,True,True,False,0.008544,0.006843,50.0
PROPHET,0.01,False,multiplicative,1.0,True,True,False,0.008591,0.006872,50.0
PROPHET,0.1,False,multiplicative,0.1,True,True,False,0.008591,0.006831,50.0
PROPHET,0.1,False,multiplicative,1.0,True,True,False,0.008872,0.007201,50.0
